Marca temporal,¿En qué curso académico te encuentras?,¿Cuál es tu situación con respecto al TFG/TFM?,¿Consideras que las metodologías ágiles pueden mejorar la gestión y el desarrollo de un TFG/TFM?,"En un TFG/TFM con interacciones limitadas con el tutor, una metodología ágil permitiría un mejor seguimiento del progreso del proyecto.","¿Consideras que los TFG/TFM deberían adaptarse a un enfoque ágil, similar a los proyectos de desarrollo de software?",¿Qué tipo de interacciones prefieres tener con tu tutor durante el desarrollo de tu TFG/TFM?,¿Cuántas interacciones mensuales consideras suficientes entre alumno y tutor para el desarrollo adecuado del TFG/TFM?,"¿Te gustaría que las interacciones con el tutor fueran menos frecuentes, con un enfoque más autónomo y flexible?",¿Qué herramientas crees que serían útiles para implementar una metodología ágil en el desarrollo de TFG/TFM?,¿Estarías dispuesto a utilizar herramientas ágiles (como Jira o Trello) para gestionar el progreso de tu TFG/TFM?,¿Cuánto tiempo semanal consideras adecuado dedicar al seguimiento del proyecto de TFG/TFM?,¿Consideras que una metodología definida es necesaria para el desarrollo de un TFG/TFM?,¿Qué mejoras crees que una metodología ágil podría aportar al desarrollo de tu TFG/TFM?,¿Qué recomendaciones tienes para mejorar el proceso de seguimiento de tu TFG/TFM mediante una metodología ágil?,¿Estás familiarizado/a con metodologías ágiles?,¿Qué tipo de entregas prefieres realizar en tu TFG/TFM?,¿Cómo debería estructurarse el plan de trabajo del TFG/TFM?, ¿Qué nivel de documentación consideras adecuado?  ,¿Cómo prefieres recibir retroalimentación del tutor?,¿Qué prioridad darías a que el proyecto permita cambios sobre el diseño inicial?,¿Qué metodologías ágiles has utilizado o conoces?,"¿Te gustaría comentar tu experiencia o sugerir medidas que crees que podrían haber mejorado la organización o el desarrollo de tu TFG/TFM? (opcional)
(Por ejemplo: herramientas, tipo de apoyo del tutor, planificación, etc.)",Columna 24,Columna 25
26/11/2024 18:51:14,4º de Grado,Sí,3,,3,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",Más de 4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams)",Tal vez,3-5 horas,"Sí, creo que puede ayudar algo.",,,Si,,,,,,SCRUM,,,
9/12/2024 17:33:54,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",5,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",Más de 4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab)",Sí,1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,Scrum,,,
9/12/2024 17:37:11,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,2,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de documentación (Ej. Google Docs, Notion)","No, prefiero otros métodos más tradicionales",3-5 horas,"Sí, creo que es imprescindible.",,,Sí,,,,,,Scrum,,,
9/12/2024 17:39:58,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,3,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",3 interacciones,,"Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de documentación (Ej. Google Docs, Notion)","No, prefiero otros métodos más tradicionales",1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,"Scrum ,kanban cascada",,,
9/12/2024 17:56:04,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",5,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",1 o menos interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab)",Sí,1-2 horas,"Sí, creo que es imprescindible.",,,Sí,,,,,,"Scrum, Kanban.","Me gusta poner fechas de entrega ficticias para llevar bien aproximadamente cada paso. Hacer iteraciones e intentar cerrar MVPs, y luego ir completando con ampliaciones hasta obtener el mejor resultado.",,
9/12/2024 18:08:47,Máster,Ya he presentado mi TFG/TFM,5,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Tal vez,3-5 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,"Scrum, Kanban, Sprint",,,
9/12/2024 19:14:18,Máster,Ya he presentado mi TFG/TFM,2,,1,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de comunicación (Ej. Slack, Microsoft Teams)",Sí,1-2 horas,"No, el trabajo puede hacerse perfectamente sin metodología definida.",,,Sí,,,,,,"Agile, Kanban, Trello",,,
9/12/2024 21:23:40,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,2,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",3 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,3-5 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,"SAFe, Scrum y Kanban",,,
9/12/2024 21:32:18,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",4,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,3-5 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,Scrum,,,
10/12/2024 22:12:49,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,3,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de comunicación (Ej. Slack, Microsoft Teams)",Tal vez,Más de 5 horas,"Sí, creo que es imprescindible.",,,Sí,,,,,,"Scrum, DevOps, Lean Startup","Por la naturaleza investigadora de un TF, es difícil a priori valorar si se podría gestionar globalmente con metodologías ágiles. Aunque si hay etapas o partes del un TF en las que considero que puede ser aplicable.",,
